Day of the Week,Month,Open,High,Low,Close,Adj Close,Volume
4,12,18.9,19.49,18.809999,19.49,14.017754,1605400
5,12,19.65,19.77,19.4,19.68,14.15441,737100
1,12,19.790001,19.99,19.5,19.74,14.197561,698100
2,12,19.74,19.82,19.5,19.530001,14.046524,213700
4,12,19.549999,19.9,19.35,19.780001,14.226333,416500
5,12,19.93,20.59,19.530001,20.139999,14.485253,758200
1,12,20.1,20.139999,19.82,19.98,14.370173,246800
2,12,19.959999,20.719999,19.959999,20.549999,14.780138,313900
4,1,20.620001,20.940001,19.959999,20.18,14.51402,425800
5,1,20.1,20.280001,19.780001,20.02,14.398952,298700
1,1,20.049999,20.1,19.809999,20.01,14.39175,509700
2,1,20.040001,20.17,19.93,20.049999,14.420523,856800
3,1,20.1,20.1,19.889999,19.959999,14.355789,497900
4,1,19.959999,20.049999,19.809999,20.030001,14.406137,290200
5,1,20.049999,20.15,19.99,20.040001,14.413332,660100
1,1,19.9,20.01,19.75,19.98,14.370173,392600
2,1,19.860001,20.34,19.75,20.120001,14.470871,215800
3,1,20.18,20.299999,19.809999,19.99,14.37737,311800
4,1,19.92,20.49,19.9,20.299999,14.600328,279300
5,1,20.18,20.49,20.040001,20.24,14.557178,131400
2,1,20.4,21,20.32,20.85,14.995906,620300
3,1,20.940001,21.49,20.92,21.26,15.290789,326800
4,1,21.27,21.27,20.5,21.27,15.29798,154300
5,1,21.27,21.610001,20.799999,21.370001,15.369905,409000
1,1,21.26,21.469999,21.02,21.35,15.355521,497200
2,1,21.969999,21.969999,21.1,21.91,15.758287,332600
3,1,21.92,21.92,21.35,21.639999,15.564095,77200
4,1,21.879999,22,21.43,21.530001,15.484981,122700
5,1,21.25,21.82,21.16,21.370001,15.369905,230800
1,2,21.5,21.5,21.01,21.049999,15.13975,232200
2,2,21.049999,21.17,20.620001,21.02,15.118174,311500
3,2,20.84,21.129999,20.299999,21.040001,15.132562,362000
4,2,20.99,21.16,20.709999,21.16,15.218866,211600
5,2,21.209999,21.33,20.91,21.32,15.333943,129900
1,2,21.25,21.370001,21.07,21.370001,15.369905,118300
2,2,21.459999,21.780001,21.299999,21.77,15.657595,156200
3,2,21.709999,22.09,21.459999,22.040001,15.851786,147900
4,2,21.74,22.450001,21.719999,22.1,15.89494,183400
5,2,22.18,22.18,21.32,22,15.823017,172600
2,2,22.1,22.1,21.799999,21.99,15.815827,183800
3,2,21.92,22.25,21.76,21.93,15.772676,210900
4,2,21.799999,22.059999,21.629999,21.950001,15.787054,179800
5,2,22,22.639999,21.790001,22.309999,16.045979,303800
1,2,22.4,22.5,21.9,22.389999,16.103518,245400
2,2,22.48,22.93,22.309999,22.469999,16.161055,252800
3,2,22.75,22.879999,21.67,22.52,16.19702,567500
4,2,22.52,22.940001,22.139999,22.74,16.355249,374300
5,2,22.74,22.940001,22.35,22.889999,16.463135,306200
1,3,22.969999,23.6,22.77,22.950001,16.506289,432900
2,3,23.08,24.459999,23.08,23.98,17.247091,1157200
3,3,24.040001,24.799999,24.040001,24.66,17.736166,355400
4,3,24.780001,25.290001,24.59,25.219999,18.138935,351300
5,3,25.43,25.809999,24.76,25.469999,18.318739,487700
1,3,25.299999,26.4,24.74,24.809999,17.844053,398500
2,3,24.940001,26.68,23.98,23.98,17.247091,1226700
3,3,23.99,24.58,23.02,23.290001,16.750828,508100
4,3,23.34,24.559999,23.34,23.870001,17.167974,827600
5,3,23.85,24.799999,23.73,24.110001,17.340588,567000
1,3,24.17,25.43,24.17,25.059999,18.023855,868000
2,3,25.17,25.25,24.34,24.4,17.549166,547500
3,3,23.9,23.9,23.190001,23.58,16.959398,569200
4,3,23.469999,23.65,22.98,23.51,16.90905,429200
5,3,23.280001,23.690001,22.82,23.059999,16.585398,1645900
1,3,23,23.23,22.299999,23.18,16.671707,385500
2,3,23.309999,24.209999,23.299999,24.01,17.268665,398400
3,3,24.07,24.07,23.700001,23.860001,17.160784,238200
4,3,23.77,24.07,23.26,23.42,16.844316,284300
5,3,23.42,23.99,23.379999,23.9,17.189552,283600
1,3,23.99,24.25,23.379999,24.25,17.441282,2337300
2,4,24.200001,24.719999,23.870001,24.719999,17.779318,374600
3,4,24.73,25.139999,24.52,24.799999,17.836857,321500
4,4,24.860001,25,23.440001,23.48,16.88748,374700
5,4,23.6,23.700001,22.59,23.02,16.556627,322900
1,4,23.01,23.16,22.540001,23.02,16.556627,238500
2,4,23.040001,24.18,22.809999,23.969999,17.239895,522000
3,4,24.059999,24.120001,23.57,23.639999,17.002554,282000
4,4,23.59,23.639999,22.879999,22.879999,16.455938,118000
5,4,22.73,23.709999,21.91,23.6,16.973782,581500
1,4,23.879999,24.01,23.51,23.59,16.966589,305200
2,4,23.66,23.940001,22.17,22.41,16.117905,264700
3,4,22.450001,22.629999,22.02,22.51,16.189821,191000
4,4,22.440001,22.65,21.68,22.299999,16.038782,367100
1,4,22.299999,23.639999,22.299999,23.389999,16.822742,312400
2,4,23.370001,23.48,22.65,22.790001,16.391209,202500
3,4,22.82,23.459999,22.74,22.870001,16.448746,302100
4,4,22.98,23.860001,22.84,23.379999,16.815556,134700
5,4,23.219999,23.24,21.950001,22.09,15.887749,328300
1,4,22.17,22.700001,21.870001,22.59,16.247364,289600
