Day of the Week,Month,Open,High,Low,Close,Adj Close,Volume
1,3,108.529999,109.529999,102.82,102.949997,102.949997,92600000
2,3,102.809998,109.900002,100.080002,105.529999,105.529999,135348300
3,3,108.410004,111.709999,106.849998,111.050003,111.050003,102310300
4,3,108.889999,109.07,103.07,106.459999,106.459999,102557400
5,3,108.129997,108.190002,104.080002,104.290001,104.290001,87584400
1,3,102.989998,105.239998,101.040001,102.25,102.25,89731700
2,3,102.660004,109.690002,101.790001,109.330002,109.330002,112425500
3,3,111.599998,115.419998,109.889999,115.370003,115.370003,113689800
4,3,112.139999,114.269997,109.709999,111.690002,111.690002,103201700
5,3,111.279999,114.93,110.550003,113.459999,113.459999,105834800
1,3,113.730003,117.57,112.540001,115.919998,115.919998,101905900
2,3,115.43,117.949997,113.809998,114.779999,114.779999,101672600
3,3,114.290001,117.550003,112.209999,113.919998,113.919998,90579200
4,3,114.959999,120.550003,113.709999,120.529999,120.529999,121961300
5,3,119.919998,121.400002,117.25,119.669998,119.669998,95852400
1,3,117.699997,120.410004,116.709999,120.239998,120.239998,92966100
2,3,122.279999,123.709999,119.589996,123.230003,123.230003,94143000
3,3,123.040001,125.669998,118.589996,119.220001,119.220001,99476900
4,3,116.309998,116.379997,109.019997,109.339996,109.339996,147004800
5,4,110.480003,111.419998,106.099998,108.190002,108.190002,111867100
1,4,109.970001,110.940002,107.029999,110.529999,110.529999,90123900
2,4,109.690002,110.480003,106.050003,106.82,106.82,79532000
3,4,104.449997,105.739998,101.709999,103.669998,103.669998,105256600
4,4,103.919998,105.239998,100.910004,103.720001,103.720001,91895500
5,4,102.510002,102.989998,100.419998,101,101,92746700
1,4,98.599998,98.669998,95.940002,97.370003,97.370003,95527700
2,4,98.779999,99.589996,94.599998,95.099998,95.099998,89246400
3,4,95.300003,98.330002,94.709999,97.739998,97.739998,77728400
4,4,98.370003,98.389999,92.919998,93.059998,93.059998,73354400
1,4,92.029999,95.160004,91.639999,93.889999,93.889999,80605800
2,4,93.389999,97.07,92.839996,96.93,96.93,77069500
3,4,97.839996,97.910004,93.199997,94.019997,94.019997,62489000
4,4,95.160004,96.230003,89.239998,89.849998,89.849998,76680600
5,4,90.029999,91.459999,87.940002,88.139999,88.139999,75017700
1,4,89.860001,91.370003,88.610001,90.690002,90.690002,93481000
2,4,89.739998,90.120003,85.080002,85.160004,85.160004,89127400
3,4,84.25,87.900002,84.019997,84.910004,84.910004,83125100
4,4,86.669998,90.580002,84.779999,89.639999,89.639999,91495400
5,4,88.050003,91.790001,85.379997,85.519997,85.519997,82647700
1,5,85.660004,90.370003,85.32,89.839996,89.839996,98304100
2,5,89.849998,92.209999,89.010002,91.129997,91.129997,126381800
3,5,98.18,99.690002,91.699997,99.419998,99.419998,225394100
4,5,97.650002,97.839996,92.169998,93.870003,93.870003,153129800
5,5,94.339996,98.18,92.650002,95.339996,95.339996,144286600
1,5,92.870003,93.739998,85.379997,86.360001,86.360001,144523700
2,5,89.18,90.769997,85.410004,88.730003,88.730003,137235500
3,5,87.839996,93.459999,86.529999,87.919998,87.919998,136137900
4,5,86.599998,88.550003,83.269997,87.059998,87.059998,129214200
5,5,88.300003,96.57,88.220001,95.120003,95.120003,138068100
1,5,93.860001,98.169998,93.080002,94.239998,94.239998,131065700
2,5,97.879997,103.199997,97.540001,102.470001,102.470001,164227200
3,5,100,104.220001,95.709999,96.279999,96.279999,142603200
4,5,96.690002,100.690002,95.089996,96.669998,96.669998,141506200
5,5,98.389999,98.639999,88.260002,93.5,93.5,164126800
1,5,91.660004,95.190002,90.919998,95.07,95.07,128773000
2,5,92.540001,93.419998,89.620003,91.160004,91.160004,123341400
3,5,90.43,93.889999,89.519997,92.650002,92.650002,111771100
4,5,91.339996,100.330002,90.739998,98.75,98.75,128792700
5,5,100.139999,102.400002,99.379997,102.260002,102.260002,104348400
2,5,102.43,104.550003,100.040001,101.860001,101.860001,125102900
3,6,102.129997,103.57,99.550003,101.220001,101.220001,99351400
4,6,100.779999,109.5,100.779999,108.589996,108.589996,120953800
5,6,105.800003,109.389999,104.650002,106.300003,106.300003,110844700
