Day of the Week,Month,Open,High,Low,Close,Adj Close,Volume
2,3,290,290,290,290,290,0
3,3,290,310,290,290,290,20000
4,3,290,290,290,290,290,0
5,3,290,290,290,290,290,0
1,3,290,290,270,270,270,10000
2,3,270,270,270,270,270,0
3,3,270,270,270,270,270,0
4,3,270,270,270,270,270,0
5,3,270,270,270,270,270,0
1,3,270,280,260,260,260,10000
2,4,260,280,260,260,260,30000
3,4,260,260,260,260,260,0
4,4,260,280,260,260,260,10000
1,4,265,285,265,265,265,10000
2,4,265,285,265,265,265,10000
3,4,265,285,265,265,265,10000
4,4,265,280,260,260,260,90000
5,4,260,260,260,260,260,0
1,4,260,275,255,255,255,20000
2,4,255,265,245,245,245,20000
3,4,245,245,245,245,245,0
4,4,255,275,255,255,255,10000
5,4,255,275,255,255,255,20000
1,4,260,280,260,260,260,20000
2,4,260,260,260,260,260,0
3,4,275,295,275,275,275,20000
4,4,275,295,275,275,275,10000
5,4,275,275,275,275,275,0
1,4,275,275,275,275,275,0
2,4,275,275,275,275,275,0
3,4,275,275,275,275,275,0
4,5,275,275,275,275,275,0
5,5,275,275,275,275,275,0
1,5,285,305,285,285,285,20000
2,5,285,285,285,285,285,0
3,5,285,285,285,285,285,0
4,5,285,285,285,285,285,0
5,5,285,285,285,285,285,0
1,5,285,285,285,285,285,0
2,5,305,325,305,305,305,10000
3,5,305,305,305,305,305,0
4,5,310,330,310,310,310,20000
5,5,310,330,310,310,310,10000
1,5,310,310,310,310,310,0
2,5,310,330,310,310,310,20000
3,5,315,335,315,315,315,20000
4,5,315,335,315,315,315,10000
5,5,315,315,315,315,315,0
2,5,315,315,315,315,315,0
3,5,320,340,320,320,320,10000
4,5,320,320,320,320,320,0
5,5,320,340,320,320,320,10000
1,6,320,330,310,310,310,20000
2,6,310,330,310,310,310,10000
3,6,310,310,310,310,310,0
4,6,310,310,310,310,310,0
5,6,310,310,310,310,310,0
1,6,310,330,310,310,310,10000
2,6,315,335,315,315,315,10000
3,6,315,315,315,315,315,0
4,6,320,340,320,320,320,20000
5,6,320,340,320,320,320,10000
1,6,320,320,320,320,320,0
2,6,320,340,320,320,320,10000
3,6,320,320,320,320,320,0
4,6,320,340,320,320,320,20000
5,6,320,330,310,310,310,10000
1,6,310,330,310,310,310,10000
2,6,310,310,310,310,310,0
3,6,310,310,310,310,310,0
4,6,310,310,310,310,310,0
5,6,310,325,305,305,305,30000
1,6,305,305,305,305,305,0
2,7,305,305,305,305,305,0
3,7,305,305,305,305,305,0
4,7,305,325,305,305,305,30000
1,7,310,325,310,310,310,10000
2,7,310,310,310,310,310,0
3,7,310,310,310,310,310,0
4,7,315,330,315,315,315,50000
5,7,320,335,320,320,320,20000
1,7,325,340,325,325,325,10000
2,7,335,345,335,335,335,20000
3,7,335,345,330,330,330,10000
4,7,330,345,325,325,325,10000
5,7,325,345,325,325,325,10000
1,7,325,325,325,325,325,0
2,7,325,325,325,325,325,0
3,7,325,325,325,325,325,0
4,7,340,360,340,340,340,10000
5,7,340,340,340,340,340,0
1,7,340,340,340,340,340,0
2,7,340,340,340,340,340,0
