Day of the Week,Month,Open,High,Low,Close,Adj Close,Volume
1,3,58.75,59.110001,57.645,57.98,55.16584,6987800
2,3,58.110001,59.220001,57.619999,57.84,55.032635,6583400
3,3,59.25,60.900002,58.939999,59.799999,56.897503,7484700
4,3,59.240002,61.040001,59.23,60.630001,57.687222,5421000
5,3,61.060001,62.490002,60.869999,60.91,57.953629,6140000
1,3,61.369999,62.029999,59.77,60.279999,57.354202,5836200
2,3,59.869999,60.264999,57.619999,58.869999,56.012634,8354400
3,3,59.16,60.150002,58.720001,59.639999,56.745266,6154800
4,3,59.380001,62.880001,59.139999,62.84,59.789955,9420600
5,3,62.23,63.43,61.805,62.389999,59.36179,9510800
1,3,63.119999,63.720001,62.529999,63.34,60.265682,4836500
2,3,64,64.529999,63.240002,63.549999,60.465485,5136700
3,3,63.400002,63.84,63.02,63.299999,60.227619,2936100
4,3,63.759998,64.199997,63.41,64.089996,60.979275,3611400
5,3,64.089996,64.730003,63.84,64.699997,61.559669,3962900
1,3,64.300003,64.550003,63.040001,64.110001,60.998306,3879300
2,3,63.950001,64.32,62.82,64.190002,61.074429,4225600
3,3,64.480003,64.940002,64.029999,64.260002,61.141029,3145900
4,3,64.150002,64.785004,63.709999,63.720001,60.627235,4302100
5,4,64.290001,64.93,63.439999,64.18,61.064911,3317100
1,4,64.510002,64.510002,63.32,64.010002,60.903164,3650000
2,4,64,64.639999,63.41,63.490002,60.408401,3432500
3,4,63.209999,63.290001,61.290001,61.669998,58.676735,4977000
4,4,61.799999,61.799999,60.029999,61.25,58.277122,4644800
5,4,61.77,62.279999,61.32,61.68,58.686253,3913900
1,4,61.349998,62.619999,61.150002,61.950001,58.94315,2760400
2,4,62.509998,63.75,62.290001,63.259998,60.189564,4137300
3,4,63.490002,64.230003,63.220001,64.160004,61.045887,3465600
4,4,64.489998,66,64.389999,65.489998,62.311325,7000200
1,4,65.489998,66.480003,65.300003,65.879997,62.682396,4958900
2,4,66.029999,67.349998,65.910004,67.050003,63.795609,5292500
3,4,67.07,68.169998,67.040001,67.540001,64.261826,5021500
4,4,69,71.860001,68.889999,69.510002,66.136208,10282500
5,4,70.07,71.230003,68.239998,68.5,65.17524,7439400
1,4,67.410004,68.339996,65.529999,68.07,64.766098,7252100
2,4,68.239998,68.980003,67.349998,67.370003,64.100082,6612800
3,4,68.120003,68.330002,67.051003,67.449997,64.176193,5412300
4,4,68.040001,68.040001,66.110001,67.809998,64.518723,5532300
5,4,68.120003,68.714996,66.309998,66.5,63.272301,6499800
1,5,67.150002,67.309998,65.809998,67.059998,63.805122,7250100
2,5,67.120003,68.330002,67.059998,68.150002,64.842224,4599500
