Day of the Week,Month,Open,High,Low,Close,Adj Close,Volume
3,9,0,0.373114,0.36214,0.36214,0.253275,23109300
4,9,0,0.37037,0.351166,0.37037,0.259031,13163006
5,9,0,0.373114,0.364883,0.373114,0.26095,12757500
1,9,0,0.373114,0.364883,0.364883,0.255194,7700063
2,9,0,0.367627,0.356653,0.356653,0.249438,17860500
3,9,0,0.351166,0.337449,0.348422,0.243681,16739663
4,10,0,0.359396,0.342936,0.359396,0.251356,10757306
5,10,0,0.36214,0.353909,0.359396,0.251356,1549125
1,10,0,0.353909,0.342936,0.351166,0.2456,3836363
2,10,0,0.351166,0.345679,0.351166,0.2456,2255344
3,10,0,0.348422,0.340192,0.345679,0.241763,3184819
4,10,0,0.348422,0.331962,0.340192,0.237925,3995831
5,10,0,0.342936,0.331962,0.331962,0.232169,1790606
1,10,0,0.334705,0.310014,0.318244,0.222575,5248800
2,10,0,0.320988,0.312757,0.315501,0.220657,2492269
3,10,0,0.315501,0.296296,0.29904,0.209144,6934613
4,10,0,0.301783,0.290809,0.29904,0.209144,5052881
5,10,0,0.304527,0.282579,0.282579,0.197631,6251175
1,10,0,0.277092,0.260631,0.268861,0.188037,12397556
2,10,0,0.271605,0.233196,0.260631,0.182281,10301681
3,10,0,0.260631,0.233196,0.246914,0.172688,10292569
4,10,0,0.238683,0.208505,0.213992,0.149663,5777325
5,10,0,0.205761,0.192044,0.197531,0.13815,5180456
1,10,0,0.194787,0.161866,0.17284,0.120882,5649750
2,10,0,0.186557,0.17284,0.175583,0.1228,3809025
3,10,0,0.175583,0.161866,0.164609,0.115125,3831806
4,10,0,0.145405,0.131687,0.142661,0.099775,12119625
5,10,0,0.175583,0.159122,0.17284,0.120882,18320681
1,11,0,0.197531,0.186557,0.197531,0.13815,11153700
2,11,0,0.203018,0.178326,0.186557,0.130475,7030294
3,11,0,0.186557,0.178326,0.18107,0.126638,4788619
4,11,0,0.18107,0.164609,0.170096,0.118963,9199069
5,11,0,0.175583,0.167353,0.170096,0.118963,4797731
1,11,0,0.17284,0.164609,0.164609,0.115125,3973050
2,11,0,0.164609,0.159122,0.159122,0.111288,2278125
3,11,0,0.167353,0.161866,0.161866,0.113207,1931850
