Day of the Week,Month,Open,High,Low,Close,Adj Close,Volume
2,11,28.563,28.813,28.563,28.563,7.980359,2952400
3,11,28.219,28.469,28.219,28.219,7.884248,2316800
4,11,28.219,28.344,28.094,28.219,7.884248,1242400
5,11,27.781,28.25,27.75,27.781,7.761869,1874000
1,11,27.938,28.031,27.719,27.938,7.805741,1876000
2,11,28,28.125,27.969,28,7.823061,1832000
3,11,27.594,28.125,27.5,27.594,7.70963,2078000
4,11,27.406,27.594,27.375,27.406,7.6571,1826800
5,11,27.375,27.469,27.188,27.375,7.648437,1213600
1,11,27.344,27.406,27.25,27.344,7.639779,1132000
2,11,27.219,27.563,27.156,27.219,7.604854,1944400
3,11,27.438,27.438,27.25,27.438,7.666042,1578800
4,11,27.188,27.438,27,27.188,7.596195,1563600
5,11,27.063,27.219,27,27.063,7.56127,1890800
1,11,27,27.375,26.969,27,7.543664,1826400
2,11,26.625,27.125,26.594,26.625,7.438892,2139600
3,11,26.75,26.813,26.375,26.75,7.473818,2454800
5,11,26.563,26.719,26.438,26.563,7.421568,584800
1,11,26.969,26.969,26.469,26.969,7.535002,2045200
2,11,27.031,27.063,26.875,27.031,7.552327,2627200
3,11,27.156,27.281,27,27.156,7.587254,1904400
4,12,26.75,27.031,26.688,26.75,7.473818,1796000
5,12,26.813,26.844,26.625,26.813,7.49142,2099600
1,12,26.625,26.781,26.625,26.625,7.438892,924000
2,12,26.531,26.594,26.281,26.531,7.41263,1442800
3,12,26.5,26.5,26.375,26.5,7.403969,1002000
4,12,26.25,26.469,26.219,26.25,7.334117,2268400
5,12,26.438,26.438,26.25,26.438,7.386644,1539200
1,12,26.75,26.781,26.375,26.75,7.473818,1300800
2,12,26.5,26.688,26.5,26.5,7.403969,1641600
3,12,26.625,26.719,26.5,26.625,7.438892,1503200
4,12,26.5,26.625,26.469,26.5,7.403969,2094000
5,12,26.781,26.844,26.531,26.781,7.482476,5941600
1,12,26.719,26.719,26.594,26.719,7.465159,1067600
2,12,26.625,26.75,26.625,26.625,7.438892,1156000
3,12,26.781,27,26.625,26.781,7.482476,1930800
4,12,26.656,26.844,26.625,26.656,7.447551,1133600
5,12,26.75,26.781,26.656,26.75,7.473818,679600
2,12,27.094,27.156,26.813,27.094,7.569927,1596000
3,12,27.219,27.219,26.938,27.219,7.604854,1434800
4,12,27.063,27.219,27.063,27.063,7.56127,1222800
5,12,26.938,27.281,26.875,26.938,7.526343,1060000
2,1,27.031,27.031,26.875,27.031,7.552327,1219200
3,1,27.031,27.063,26.906,27.031,7.552327,1109200
4,1,26.906,26.969,26.813,26.906,7.517405,1040000
5,1,26.875,27.031,26.813,26.875,7.508739,1422800
1,1,27.031,27.031,26.844,27.031,7.552327,1587200
2,1,26.969,27.125,26.938,26.969,7.535002,1660400
3,1,27.063,27.188,26.938,27.063,7.56127,1574800
4,1,27.188,27.188,26.969,27.188,7.596195,1730000
5,1,27.281,27.313,27.094,27.281,7.622177,1624000
1,1,27.25,27.344,27.219,27.25,7.613513,1021200
2,1,27.219,27.219,27.094,27.219,7.604854,1190000
3,1,27.313,27.375,27.188,27.313,7.631116,1446400
4,1,27.438,27.531,27.219,27.438,7.666042,1780800
5,1,27.563,27.656,27.438,27.563,7.700964,1710800
1,1,27.844,27.906,27.375,27.844,7.779475,2048400
2,1,28,28.156,27.906,28,7.823061,1956400
3,1,28.156,28.344,27.906,28.156,7.866651,1586800
4,1,28.219,28.281,28.125,28.219,7.884248,1356800
5,1,28.313,28.563,28.281,28.313,7.910513,1322800
1,1,28.25,28.406,28.219,28.25,7.89291,1777600
2,1,27.969,28.219,27.938,27.969,7.814401,1075200
3,2,28.031,28.063,27.938,28.031,7.831722,1260000
4,2,28,28,27.906,28,7.823061,1066400
5,2,28.125,28.156,27.781,28.125,7.857985,1963600
1,2,28.063,28.156,27.875,28.063,7.840662,1932800
2,2,27.906,28.031,27.844,27.906,7.796797,1473600
3,2,28,28.188,27.844,28,7.823061,1452800
4,2,28.156,28.281,28.094,28.156,7.866651,1077600
5,2,28.406,28.469,28.25,28.406,7.936495,1820400
1,2,28.313,28.438,28.281,28.313,7.910513,1383600
2,2,28.438,28.5,28.25,28.438,7.945436,1107600
3,2,28.469,28.563,28.344,28.469,7.954097,1366800
4,2,28.688,28.719,28.5,28.688,8.015283,1504400
5,2,28.625,28.75,28.594,28.625,7.997683,1781200
2,2,28.906,28.969,28.719,28.906,8.076191,2443200
3,2,28.875,28.969,28.781,28.875,8.067532,1410800
4,2,28.625,28.875,28.594,28.625,7.997683,2886400
5,2,28.5,28.531,28.281,28.5,7.962758,1615600
1,2,28.188,28.438,28.188,28.188,7.875587,1426400
2,2,28.031,28.219,28.031,28.031,7.831722,3375600
3,3,28.031,28.156,28,28.031,7.831722,1794000
4,3,28.438,28.438,28.094,28.438,7.945436,1689200
5,3,28.469,28.469,28.25,28.469,7.954097,1186800
1,3,28.906,28.938,28.625,28.906,8.076191,2062400
2,3,28.938,28.969,28.688,28.938,8.085136,1798400
3,3,29.125,29.219,28.875,29.125,8.137381,2820000
4,3,29.031,29.125,28.969,29.031,8.111116,2323200
5,3,29.094,29.125,28.781,29.094,8.128724,2158800
1,3,28.906,29,28.875,28.906,8.076191,2018400
2,3,29.031,29.125,29,29.031,8.111116,1513200
3,3,29,29.125,29,29,8.102455,1169200
4,3,29.188,29.25,29.031,29.188,8.154984,1376400
5,3,29.281,29.344,29.125,29.281,8.180965,4115600
1,3,29.313,29.375,29.281,29.313,8.189905,1430400
2,3,29.094,29.344,29.063,29.094,8.128724,1686800
3,3,29.281,29.313,29.094,29.281,8.180965,1761200
4,3,29.219,29.25,29.063,29.219,8.163642,1770000
5,3,29.375,29.406,29.156,29.375,8.20723,1967600
1,3,29.5,29.531,29.281,29.5,8.242155,1086800
2,3,29.688,29.688,29.438,29.688,8.29468,1122400
3,3,29.813,30.031,29.5,29.813,8.329605,2816800
4,3,29.688,29.813,29.625,29.688,8.29468,1805600
5,3,30,30.031,29.625,30,8.381847,2463600
1,4,30,30.031,29.906,30,8.381847,1428800
2,4,30.313,30.313,29.969,30.313,8.4693,1335600
3,4,30.25,30.281,30.094,30.25,8.451697,1106800
4,4,30.188,30.25,30.125,30.188,8.434375,1431200
5,4,30.25,30.25,29.938,30.25,8.451697,2318400
1,4,29.875,29.938,29.781,29.875,8.346928,1446000
2,4,29.719,29.875,29.688,29.719,8.303342,1047200
3,4,29.688,29.813,29.625,29.688,8.29468,1384000
4,4,29.875,30.188,29.738001,29.875,8.346928,1584000
1,4,30.125,30.188,30,30.125,8.416775,1701600
2,4,30.25,30.25,30.031,30.25,8.451697,1760000
3,4,30.156,30.313,30.125,30.156,8.425436,1442400
4,4,30.281,30.344,30.188,30.281,8.460361,2224000
5,4,30.5,30.531,30.313,30.5,8.521548,2485600
1,4,30.75,30.844,30.563,30.75,8.591397,1395600
2,4,30.688,30.906,30.656,30.688,8.574079,2158000
3,4,31,31.031,30.75,31,8.661246,2072800
4,4,30.906,31,30.813,30.906,8.634981,1055200
5,4,31,31,30.625,31,8.661246,1641600
1,5,31.406,31.5,31.125,31.406,8.774682,2070800
2,5,31.531,31.656,31.406,31.531,8.809606,1779200
3,5,31.75,31.75,31.375,31.75,8.870788,2355600
4,5,31.813,32.094002,31.688,31.813,8.888391,1894800
5,5,31.625,31.938,31.594,31.625,8.835868,1445200
1,5,31.875,31.938,31.594,31.875,8.90572,1649200
2,5,31.5,31.813,31.438,31.5,8.800946,2082800
3,5,31.531,31.594,31.25,31.531,8.809606,2127600
4,5,31.094,31.438,31.031,31.094,8.687507,2760400
5,5,30.969,31,30.625,30.969,8.652581,2306400
1,5,31.188,31.219,30.906,31.188,8.713773,1362000
2,5,31.313,31.375,30.938,31.313,8.748698,1729600
3,5,31.156,31.313,31.063,31.156,8.704832,1234800
4,5,30.875,31.125,30.844,30.875,8.626322,37420800
5,5,30.25,30.25,30.031,30.25,8.670836,4610000
1,5,30.781,30.781,30.25,30.781,8.823042,16718800
2,5,30.813,30.813,30.594,30.813,8.832215,10663200
3,5,31,31.063,30.844,31,8.885815,15586000
4,5,31.375,31.438,31.156,31.375,8.993303,3597600
5,5,31.313,31.563,31.25,31.313,8.975535,2496400
2,5,31.406,31.469,31.281,31.406,9.002196,1302800
3,5,31.688,31.688,31.094,31.688,9.083022,2801600
4,6,31.75,31.781,31.406,31.75,9.100791,2149200
5,6,31.594,31.938,31.406,31.594,9.056081,2370800
1,6,31.625,31.688,31.344,31.625,9.064965,1873600
2,6,31.438,31.438,31.219,31.438,9.011364,1487600
3,6,31.344,31.563,31.313,31.344,8.984418,1116800
4,6,31.438,31.469,31.219,31.438,9.011364,949200
5,6,31.25,31.438,31.156,31.25,8.957479,1209200
1,6,31.438,31.563,31.281,31.438,9.011364,1160400
2,6,31.469,31.531,31.375,31.469,9.02025,856400
3,6,31.375,31.375,31.188,31.375,8.993303,1298800
4,6,31.031,31.156,30.938,31.031,8.894702,2003600
5,6,30.969,31.063,30.906,30.969,8.876929,5050400
1,6,31.125,31.156,30.969,31.125,8.921644,1453200
2,6,30.875,31.031,30.719,30.875,8.84999,2300400
3,6,30.375,30.875,30.25,30.375,8.706667,3444000
4,6,30.375,30.594,30.188,30.375,8.706667,4880000
5,6,30.813,30.813,30.438,30.813,8.832215,2252000
1,6,30.625,30.906,30.594,30.625,8.778325,2610800
2,6,30.75,30.906,30.656,30.75,8.814154,1768800
3,6,30.594,30.656,30.438,30.594,8.769439,2543600
4,6,30.594,30.594,30.344,30.594,8.769439,1844000
5,6,30.469,30.594,30.375,30.469,8.733613,1886000
1,7,30.625,30.688,30.531,30.625,8.778325,841200
3,7,30.813,30.906,30.688,30.813,8.832215,2060400
4,7,30.75,30.75,30.344,30.75,8.814154,2054400
5,7,30.781,30.938,30.438,30.781,8.823042,1474000
1,7,30.5,30.719,30.438,30.5,8.742495,2695200
2,7,30.313,30.469,30.281,30.313,8.688895,2908800
3,7,30.438,30.469,30.188,30.438,8.724725,3128800
4,7,30.781,30.781,30.563,30.781,8.823042,2128800
5,7,30.719,30.719,30.531,30.719,8.805275,1301600
1,7,30.783001,30.783001,30.625,30.783001,8.823617,1749600
2,7,30.563,30.656,30.469,30.563,8.760555,1293200
3,7,30.594,30.625,30.438,30.594,8.769439,2205200
4,7,30.75,30.875,30.656,30.75,8.814154,2188400
5,7,30.875,30.969,30.75,30.875,8.84999,2140800
1,7,31.531,31.563,31.219,31.531,9.038022,1773600
2,7,31.375,31.531,31.188,31.375,8.993303,1542400
3,7,31.531,31.688,31.438,31.531,9.038022,2063600
4,7,31.688,31.75,31.563,31.688,9.083022,1292000
5,7,31.563,31.75,31.406,31.563,9.047194,1400400
1,7,31.75,31.75,31.531,31.75,9.100791,1231200
2,8,31.719,31.844,31.594,31.719,9.091908,2028000
3,8,31.688,31.875,31.594,31.688,9.083022,1433600
4,8,31.531,31.531,31.375,31.531,9.038022,1314000
5,8,31.125,31.344,31.063,31.125,8.921644,970800
1,8,30.938,31.063,30.844,30.938,8.868047,1751600
2,8,30.75,30.875,30.563,30.75,8.814154,1914800
3,8,30.75,30.844,30.688,30.75,8.814154,1102800
4,8,30.5,30.688,30.313,30.5,8.742495,1834400
5,8,30.031,30.438,29.938,30.031,8.608064,1659600
1,8,30.188,30.219,29.906,30.188,8.653067,1507200
2,8,29.531,29.625,29.344,29.531,8.464742,3484000
3,8,29.281,29.375,29.188,29.281,8.393079,3082000
4,8,29.5,29.625,29.219,29.5,8.455859,2100800
5,8,29.469,29.563,29.438,29.469,8.446969,2106000
1,8,29.594,29.719,29.531,29.594,8.482802,2309600
2,8,29.563,29.594,29.406,29.563,8.473918,1579200
3,8,29.594,29.656,29.5,29.594,8.482802,1776000
4,8,29.781,29.844,29.594,29.781,8.536406,1346800
5,8,30,30.125,29.75,30,8.599176,2630800
1,8,30,30.156,29.969,30,8.599176,1013200
2,8,29.875,29.938,29.688,29.875,8.563348,1444000
3,8,29.688,29.844,29.625,29.688,8.509744,1535200
4,8,29.813,29.844,29.563,29.813,8.545576,1504800
5,9,30.188,30.25,29.781,30.188,8.653067,2066000
2,9,30.25,30.406,30.188,30.25,8.670836,1564800
3,9,30.156,30.219,30.031,30.156,8.64389,867600
4,9,30.063,30.125,29.938,30.063,8.617234,961200
5,9,30.156,30.188,29.938,30.156,8.64389,1093600
1,9,30.375,30.469,30.156,30.375,8.706667,974000
2,9,30.531,30.563,30.25,30.531,8.751382,1711200
3,9,30.594,30.688,30.438,30.594,8.769439,1452000
4,9,30.875,31,30.625,30.875,8.84999,1604400
5,9,30.656,31.094,30.656,30.656,8.787213,6402000
1,9,30.281,30.344,30.063,30.281,8.848518,26725200
2,9,30.406,30.469,30.281,30.406,8.885046,34185600
3,9,30.781,30.844,30.469,30.781,8.994629,11280000
4,9,31.094,31.125,30.844,31.094,9.086091,1742800
5,9,31.031,31.094,30.844,31.031,9.067677,1493200
1,9,30.781,30.875,30.625,30.781,8.994629,1356400
2,9,30.5,30.75,30.438,30.5,8.912513,1728800
3,9,30.625,30.625,30.469,30.625,8.949042,2086400
4,9,30.656,30.656,30.406,30.656,8.958102,1480800
5,9,30.688,30.781,30.531,30.688,8.967449,1206000
1,10,30.688,30.75,30.563,30.688,8.967449,1184800
2,10,30.781,30.781,30.563,30.781,8.994629,1420400
3,10,31.313,31.344,30.844,31.313,9.150081,2187600
4,10,31.25,31.5,31.25,31.25,9.131672,3332800
5,10,31.281,31.313,31.063,31.281,9.14073,1420400
1,10,31.219,31.344,31.125,31.219,9.122614,1354800
2,10,31.281,31.281,30.75,31.281,9.14073,2136000
3,10,30.781,31.031,30.75,30.781,8.994629,1996800
4,10,30.813,30.813,30.656,30.813,9.003977,1054800
5,10,30.844,30.938,30.594,30.844,9.013031,1411200
1,10,30.625,30.875,30.625,30.625,8.949042,907200
2,10,30.906,31,30.594,30.906,9.031149,1098800
3,10,30.438,30.719,30.406,30.438,8.894398,1592000
4,10,30.656,30.688,30.5,30.656,8.958102,1535200
5,10,30.719,30.75,30.594,30.719,8.976505,1969600
1,10,30.375,30.625,30.313,30.375,8.875986,2002000
2,10,30.625,30.688,30.313,30.625,8.949042,1308000
